benefit_id,benefit_number1,benefit_number2,benefit_type,brand_id,card_code,category_id
172,10,0,PID,12,3919,2
173,3,0,PGP,12,3924,2
174,5,0,PBD,12,3951,2
175,5,0,PBD,12,3976,2
176,0.5,0,PGP,12,4073,2
177,0.5,0,PGP,12,4074,2
178,0.5,0,PGP,12,4076,2
179,5,0,PCB,12,4096,2
180,0.5,0,PGP,12,4196,2
181,3000,0,WND,25,4088,2
182,10,0,PBD,26,289,3
183,5,0,PCB,26,381,3
184,10,0,PBD,26,418,3
185,10,0,PBD,26,439,3
186,10,0,PBD,26,472,3
187,10,0,PBD,26,476,3
188,0.4,0,PGP,26,507,3
189,0.4,0,PCB,26,509,3
190,10,0,PND,26,1897,3
191,20,0,PBD,26,2264,3
192,0.4,0,PGP,26,2324,3
193,20,0,PBD,26,2565,3
194,1000,2,FGP,26,2804,3
195,1500,3,FGP,26,2979,3
196,1000,3,FGP,26,2981,3
197,20,0,PBD,26,3065,3
198,1,0,PGP,26,3286,3
199,20,0,PBD,26,3375,3
200,5,0,PBD,26,3420,3
201,20,0,PBD,26,3459,3
202,20,0,PBD,26,3483,3
203,0.4,0,PGP,26,3511,3
204,20,0,PBD,26,3573,3
205,1.4,0,PGP,26,3578,3
206,5,0,PGP,26,3634,3
207,30,0,PBD,26,3648,3
208,10,0,PBD,26,3651,3
209,1.5,0,PGP,26,3654,3
210,2.4,0,PGP,26,3659,3
211,10,0,PBD,26,3665,3
212,10,0,PBD,26,3666,3
213,20,0,PBD,26,3697,3
214,1,0,PGP,26,3711,3
215,5,0,PBD,26,3725,3
216,5,0,PBD,26,3726,3
217,5,0,PBD,26,3731,3
218,1,0,PGP,26,3772,3
219,5,0,PBD,26,3828,3
220,5,0,PBD,26,3847,3
221,5,0,PGP,26,3857,3
222,20,0,PBD,26,3859,3
223,0.6,0,PGP,26,3885,3
224,2,0,PGP,26,3888,3
225,5,0,PBD,26,3895,3
226,1,0,PGP,26,3896,3
227,0.6,0,PGP,26,3913,3
228,10,0,PBD,26,3917,3
229,3,0,PGP,26,3924,3
230,3,0,PGP,26,3925,3
231,5,0,PBD,26,3927,3
232,10,0,PBD,26,3936,3
233,10,0,PBD,26,3938,3
234,2.4,0,PGP,26,3945,3
235,5,0,PBD,26,3947,3
236,3,0,PGP,26,3957,3
237,0.6,0,PGP,26,3961,3
238,10,0,PND,26,3962,3
239,1,0,PBD,26,3964,3
240,1000,1,FGP,26,3969,3
241,5,0,PBD,26,3973,3
242,2,0,PBD,26,3976,3
243,3000,0,WND,26,3978,3
244,5,0,PBD,26,3979,3
245,1.4,0,PGP,26,3999,3
246,7,0,PGP,26,4000,3
247,0.4,0,PGP,26,4012,3
248,5,0,PBD,26,4059,3
249,0.5,0,PGP,26,4073,3
250,0.5,0,PGP,26,4074,3
251,0.5,0,PGP,26,4076,3
252,20,0,PND,26,4137,3
253,0.2,0,PGP,26,4191,3
254,0.5,0,PGP,26,4196,3
255,5,0,PND,26,6012,3
256,5,0,PND,26,6014,3
257,5,0,PND,26,6023,3
258,5,0,PCB,31,381,3
259,0.5,0,PGP,31,1239,3
260,1.5,0,PGP,31,1375,3
261,1.5,0,PGP,31,1376,3
262,10,0,PBD,31,1392,3
263,10,0,PBD,31,2359,3
264,20,0,PBD,31,2480,3
265,1,0,PGP,31,3286,3
266,10,0,PND,31,3383,3
267,0.4,0,PGP,31,3511,3
268,10,0,PBD,31,3666,3
269,1,0,PGP,31,3772,3
270,0.5,0,PCB,31,3845,3
271,2000,0,WBD,31,3873,3
272,5,0,PBD,31,3874,3
273,2000,0,NGP,31,3881,3
274,1000,0,WBD,31,3894,3
275,10,0,PBD,31,3897,3
276,5,0,PBD,31,3916,3
277,10,0,PID,31,3919,3
278,10,0,PID,31,3920,3
279,10,0,PID,31,3921,3
280,10,0,PCB,31,3933,3
281,2000,0,WBD,31,3942,3
282,3,0,PGP,31,4188,3
283,1000,0,WND,31,4192,3
284,5,0,PND,31,6012,3
285,5,0,PND,31,6014,3
286,10,0,PBD,24,289,3
287,5,0,PCB,24,381,3
288,10,0,PBD,24,418,3
289,10,0,PBD,24,439,3
290,10,0,PBD,24,472,3
291,10,0,PBD,24,476,3
292,0.4,0,PGP,24,507,3
293,0.4,0,PCB,24,509,3
294,10,0,PND,24,1897,3
295,20,0,PBD,24,2264,3
296,20,0,PBD,24,2320,3
297,20,0,PBD,24,2321,3
298,0.4,0,PGP,24,2324,3
299,3,0,PGP,24,2359,3
300,20,0,PBD,24,2565,3
301,1000,2,FGP,24,2804,3
302,1500,3,FGP,24,2979,3
303,1000,3,FGP,24,2981,3
304,20,0,PBD,24,3065,3
305,1,0,PGP,24,3286,3
306,20,0,PBD,24,3340,3
307,20,0,PBD,24,3375,3
308,5,0,PBD,24,3420,3
309,20,0,PBD,24,3459,3
310,0.4,0,PGP,24,3511,3
311,20,0,PBD,24,3573,3
312,1.4,0,PGP,24,3578,3
313,5,0,PGP,24,3634,3
314,30,0,PBD,24,3648,3
315,10,0,PBD,24,3651,3
316,2.4,0,PGP,24,3659,3
317,10,0,PBD,24,3665,3
318,10,0,PBD,24,3666,3
319,25,0,PBD,24,3682,3
320,5,0,PBD,24,3725,3
321,5,0,PBD,24,3726,3
322,5,0,PBD,24,3731,3
323,1,0,PGP,24,3772,3
324,5,0,PBD,24,3828,3
325,5,0,PBD,24,3847,3
326,5,0,PGP,24,3857,3
327,20,0,PBD,24,3859,3
328,0.6,0,PGP,24,3885,3
329,2,0,PGP,24,3888,3
330,5,0,PBD,24,3895,3
331,0.6,0,PGP,24,3913,3
332,10,0,PBD,24,3917,3
333,3,0,PGP,24,3924,3
334,5,0,PBD,24,3927,3
335,10,0,PBD,24,3936,3
336,2.4,0,PGP,24,3945,3
337,5,0,PBD,24,3947,3
338,0.6,0,PGP,24,3961,3
339,10,0,PND,24,3962,3
340,1,0,PBD,24,3964,3
341,1000,1,FGP,24,3969,3
342,5,0,PBD,24,3973,3
343,2,0,PBD,24,3976,3
344,3000,0,WND,24,3978,3
345,5,0,PBD,24,3979,3
346,1.4,0,PGP,24,3999,3
347,0.4,0,PGP,24,4012,3
348,5,0,PBD,24,4059,3
349,10,0,PBD,24,4063,3
350,0.5,0,PGP,24,4073,3
351,0.5,0,PGP,24,4074,3
352,0.5,0,PGP,24,4076,3
353,10,0,PCB,24,4096,3
354,20,0,PND,24,4137,3
355,0.2,0,PGP,24,4191,3
356,0.5,0,PGP,24,4196,3
357,5,0,PND,24,6012,3
358,5,0,PND,24,6014,3
359,5,0,PND,24,6023,3
360,10,0,PBD,29,289,3
361,5,0,PCB,29,381,3
362,10,0,PBD,29,418,3
363,10,0,PBD,29,439,3
364,10,0,PBD,29,472,3
365,10,0,PBD,29,476,3
366,0.4,0,PGP,29,507,3
367,0.4,0,PCB,29,509,3
368,1500,2,FGP,29,1210,3
369,5,0,PGP,29,1239,3
370,10,0,PND,29,1897,3
371,20,0,PBD,29,2264,3
372,20,0,PBD,29,2320,3
373,20,0,PBD,29,2321,3
374,0.4,0,PGP,29,2324,3
375,3,0,PGP,29,2359,3
376,20,0,PBD,29,2565,3
377,1000,2,FGP,29,2804,3
378,1500,3,FGP,29,2979,3
379,1000,3,FGP,29,2981,3
380,10,0,PND,29,3046,3
381,20,0,PBD,29,3065,3
382,1,0,PGP,29,3286,3
383,1500,5,FGP,29,3294,3
384,1500,5,FGP,29,3295,3
385,1000,5,FGP,29,3296,3
386,20,0,PBD,29,3340,3
387,20,0,PBD,29,3375,3
388,5,0,PCB,29,3414,3
389,5,0,PBD,29,3420,3
390,20,0,PBD,29,3459,3
391,20,0,PBD,29,3483,3
392,0.4,0,PGP,29,3511,3
393,20,0,PBD,29,3573,3
394,1.4,0,PGP,29,3578,3
395,10,0,PBD,29,3629,3
396,5,0,PGP,29,3634,3
397,30,0,PBD,29,3648,3
398,10,0,PBD,29,3651,3
399,2.4,0,PGP,29,3659,3
400,4000,0,WBD,29,3661,3
401,10,0,PBD,29,3665,3
402,10,0,PBD,29,3666,3
403,4000,0,WBD,29,3671,3
404,25,0,PBD,29,3682,3
405,20,0,PBD,29,3697,3
406,10,0,PBD,29,3722,3
407,5,0,PBD,29,3725,3
408,5,0,PBD,29,3726,3
409,5,0,PBD,29,3731,3
410,1,0,PGP,29,3772,3
411,5,0,PBD,29,3828,3
412,5,0,PBD,29,3847,3
413,20,0,PBD,29,3850,3
414,5,0,PGP,29,3857,3
415,10,0,PND,29,3858,3
416,20,0,PBD,29,3859,3
417,7,0,PGP,29,3861,3
418,5,0,PBD,29,3874,3
419,0.6,0,PGP,29,3885,3
420,2,0,PGP,29,3888,3
421,5,0,PBD,29,3895,3
422,1,0,PGP,29,3896,3
423,20,0,PBD,29,3903,3
424,4000,0,WBD,29,3909,3
425,20,0,PBD,29,3911,3
426,0.6,0,PGP,29,3913,3
427,10,0,PBD,29,3917,3
428,3,0,PGP,29,3924,3
429,5,0,PBD,29,3927,3
430,10,0,PBD,29,3936,3
431,10,0,PBD,29,3938,3
432,2.4,0,PGP,29,3945,3
433,5,0,PBD,29,3947,3
434,0.6,0,PGP,29,3961,3
435,10,0,PND,29,3962,3
436,1,0,PBD,29,3964,3
437,1000,1,FGP,29,3969,3
438,55,0,PBD,29,3972,3
439,5,0,PBD,29,3973,3
440,2,0,PBD,29,3976,3
441,3000,0,WND,29,3978,3
442,5,0,PBD,29,3979,3
443,1.4,0,PGP,29,3999,3
444,0.4,0,PGP,29,4012,3
445,1.5,0,PBD,29,4056,3
446,5,0,PBD,29,4059,3
447,2.5,0,PGP,29,4065,3
448,50,0,PBD,29,4071,3
449,0.5,0,PGP,29,4073,3
450,0.5,0,PGP,29,4074,3
451,0.5,0,PGP,29,4076,3
452,20,0,PCB,29,4088,3
453,7,0,PGP,29,4095,3
454,20,0,PBD,29,4104,3
455,20,0,PBD,29,4105,3
456,20,0,PBD,29,4106,3
457,5,0,PGP,29,4107,3
458,5,0,PBD,29,4108,3
459,10,0,PBD,29,4109,3
460,4000,0,WBD,29,4113,3
461,20,0,PND,29,4137,3
462,2000,0,WBD,29,4186,3
463,0.2,0,PGP,29,4191,3
464,0.5,0,PGP,29,4196,3
465,5,0,PND,29,6012,3
466,5,0,PND,29,6014,3
467,5,0,PND,29,6023,3
468,1.5,0,PGP,34,1375,3
469,1.5,0,PGP,34,1376,3
470,10,0,PBD,34,1392,3
471,10,0,PBD,34,2359,3
472,3,0,PGP,34,2359,3
473,20,0,PBD,34,2480,3
474,1500,5,FGP,34,3294,3
475,1500,5,FGP,34,3295,3
476,1000,5,FGP,34,3296,3
477,10,0,PND,34,3383,3
478,1000,0,WBD,34,3894,3
479,10,0,PBD,34,3897,3
480,1000,0,WCB,34,3904,3
481,5,0,PBD,34,3916,3
482,10,0,PID,34,3919,3
483,10,0,PID,34,3920,3
484,10,0,PID,34,3921,3
485,10,0,PCB,34,3933,3
486,2,0,PBD,34,3976,3
487,10,0,PBD,34,4063,3
488,1000,0,WND,34,4192,3
489,10,0,PBD,22,289,3
490,5,0,PCB,22,381,3
491,10,0,PBD,22,418,3
492,10,0,PBD,22,439,3
493,10,0,PBD,22,472,3
494,10,0,PBD,22,476,3
495,0.4,0,PGP,22,507,3
496,0.4,0,PCB,22,509,3
497,0.4,0,PGP,22,2324,3
498,20,0,PBD,22,2565,3
499,1000,2,FGP,22,2804,3
500,1500,3,FGP,22,2979,3
501,1000,3,FGP,22,2981,3
502,10,0,PGP,22,3251,3
503,1,0,PGP,22,3286,3
504,10,0,PBD,22,3381,3
505,10,0,PBD,22,3382,3
506,0.4,0,PGP,22,3511,3
507,1.4,0,PGP,22,3578,3
508,5,0,PBD,22,3631,3
509,5,0,PGP,22,3634,3
510,30,0,PBD,22,3648,3
511,10,0,PBD,22,3651,3
512,1.5,0,PGP,22,3654,3
513,2.4,0,PGP,22,3659,3
514,10,0,PBD,22,3665,3
515,10,0,PBD,22,3666,3
516,20,0,PBD,22,3697,3
517,1,0,PGP,22,3711,3
518,5,0,PBD,22,3725,3
519,5,0,PBD,22,3726,3
520,5,0,PBD,22,3731,3
521,1,0,PGP,22,3772,3
522,1,0,PGP,22,3840,3
523,0.5,0,PCB,22,3845,3
524,20,0,PBD,22,3859,3
525,7,0,PGP,22,3861,3
526,0.6,0,PGP,22,3885,3
527,2,0,PGP,22,3888,3
528,1000,0,WBD,22,3894,3
529,5,0,PBD,22,3895,3
530,10,0,PBD,22,3897,3
531,5,0,PCB,22,3901,3
532,5,0,PCB,22,3902,3
533,0.6,0,PGP,22,3913,3
534,3,0,PGP,22,3924,3
535,3,0,PGP,22,3925,3
536,5,0,PBD,22,3927,3
537,10,0,PBD,22,3936,3
538,10,0,PGP,22,3943,3
539,2.4,0,PGP,22,3945,3
540,3,0,PGP,22,3953,3
541,3,0,PGP,22,3957,3
542,0.6,0,PGP,22,3961,3
543,1,0,PBD,22,3964,3
544,1000,1,FGP,22,3969,3
545,5,0,PBD,22,3973,3
546,2,0,PBD,22,3976,3
547,3000,0,WND,22,3978,3
548,1.4,0,PGP,22,3999,3
549,0.4,0,PGP,22,4012,3
550,1.5,0,PBD,22,4056,3
551,2.5,0,PGP,22,4065,3
552,3,0,PGP,22,4073,3
553,3,0,PGP,22,4074,3
554,1000,0,WBD,22,4074,3
555,2.5,0,PGP,22,4076,3
556,1000,0,WBD,22,4076,3
557,1000,0,WBD,22,4077,3
558,1000,0,WBD,22,4078,3
559,7,0,PGP,22,4095,3
560,20,0,PBD,22,4106,3
561,2000,0,WBD,22,4186,3
562,5,0,PBD,22,4187,3
563,3,0,PGP,22,4188,3
564,5,0,PBD,22,4189,3
565,0.2,0,PGP,22,4191,3
566,2.5,0,PGP,22,4196,3
567,5,0,PND,22,6012,3
568,5,0,PND,22,6014,3
569,5,0,PND,22,6023,3
570,10,0,PBD,27,289,3
571,5,0,PCB,27,381,3
572,10,0,PBD,27,418,3
573,10,0,PBD,27,439,3
574,10,0,PBD,27,472,3
575,10,0,PBD,27,476,3
576,0.4,0,PGP,27,507,3
577,0.4,0,PCB,27,509,3
578,0.4,0,PGP,27,2324,3
579,20,0,PBD,27,2565,3
580,1000,2,FGP,27,2804,3
581,1500,3,FGP,27,2979,3
582,1000,3,FGP,27,2981,3
583,1,0,PGP,27,3286,3
584,0.4,0,PGP,27,3511,3
585,1.4,0,PGP,27,3578,3
586,5,0,PGP,27,3634,3
587,30,0,PBD,27,3648,3
588,10,0,PBD,27,3651,3
589,2.4,0,PGP,27,3659,3
590,10,0,PBD,27,3665,3
591,10,0,PBD,27,3666,3
592,5,0,PBD,27,3725,3
593,5,0,PBD,27,3726,3
594,5,0,PBD,27,3731,3
595,1,0,PGP,27,3772,3
596,20,0,PBD,27,3859,3
597,0.6,0,PGP,27,3885,3
598,2,0,PGP,27,3888,3
599,5,0,PBD,27,3895,3
600,0.6,0,PGP,27,3913,3
601,3,0,PGP,27,3924,3
602,5,0,PBD,27,3927,3
603,10,0,PBD,27,3936,3
604,2.4,0,PGP,27,3945,3
605,0.6,0,PGP,27,3961,3
606,1,0,PBD,27,3964,3
607,1000,1,FGP,27,3969,3
608,3000,0,WND,27,3978,3
609,1.4,0,PGP,27,3999,3
610,0.4,0,PGP,27,4012,3
611,0.5,0,PGP,27,4073,3
612,0.5,0,PGP,27,4074,3
613,0.5,0,PGP,27,4076,3
614,0.2,0,PGP,27,4191,3
615,0.5,0,PGP,27,4196,3
616,5,0,PND,27,6012,3
617,5,0,PND,27,6014,3
618,5,0,PND,27,6023,3
619,10,0,PBD,23,289,3
620,5,0,PCB,23,381,3
621,10,0,PBD,23,418,3
622,10,0,PBD,23,439,3
623,10,0,PBD,23,472,3
624,10,0,PBD,23,476,3
625,0.4,0,PGP,23,507,3
626,0.4,0,PCB,23,509,3
627,20,0,PBD,23,2264,3
628,0.4,0,PGP,23,2324,3
629,3,0,PGP,23,2359,3
630,20,0,PBD,23,2565,3
631,1000,2,FGP,23,2804,3
632,1500,3,FGP,23,2979,3
633,1000,3,FGP,23,2981,3
634,20,0,PBD,23,3065,3
635,1,0,PGP,23,3286,3
636,20,0,PBD,23,3375,3
637,20,0,PBD,23,3459,3
638,0.4,0,PGP,23,3511,3
639,20,0,PBD,23,3573,3
640,1.4,0,PGP,23,3578,3
641,5,0,PGP,23,3634,3
642,30,0,PBD,23,3648,3
643,10,0,PBD,23,3651,3
644,2.4,0,PGP,23,3659,3
645,10,0,PBD,23,3665,3
646,10,0,PBD,23,3666,3
647,5,0,PBD,23,3725,3
648,5,0,PBD,23,3726,3
649,5,0,PBD,23,3731,3
650,1,0,PGP,23,3772,3
651,5,0,PBD,23,3828,3
652,5,0,PBD,23,3847,3
653,5,0,PGP,23,3857,3
654,20,0,PBD,23,3859,3
655,0.6,0,PGP,23,3885,3
656,2,0,PGP,23,3888,3
657,5,0,PBD,23,3895,3
658,0.6,0,PGP,23,3913,3
659,3,0,PGP,23,3924,3
660,5,0,PBD,23,3927,3
661,10,0,PBD,23,3936,3
662,2.4,0,PGP,23,3945,3
663,5,0,PBD,23,3947,3
664,0.6,0,PGP,23,3961,3
665,1,0,PBD,23,3964,3
666,1000,1,FGP,23,3969,3
667,5,0,PBD,23,3973,3
668,2,0,PBD,23,3976,3
669,3000,0,WND,23,3978,3
670,5,0,PBD,23,3979,3
671,1.4,0,PGP,23,3999,3
672,0.4,0,PGP,23,4012,3
673,5,0,PBD,23,4059,3
674,0.5,0,PGP,23,4073,3
675,0.5,0,PGP,23,4074,3
676,0.5,0,PGP,23,4076,3
677,20,0,PND,23,4137,3
678,0.2,0,PGP,23,4191,3
679,0.5,0,PGP,23,4196,3
680,5,0,PND,23,6012,3
681,5,0,PND,23,6014,3
682,5,0,PND,23,6023,3
683,1,0,PGP,35,3711,3
684,7,0,PGP,35,4000,3
685,20,0,PGP,35,31,3
686,10,0,PBD,35,4063,3
687,5,0,PCB,32,381,3
688,0.5,0,PGP,32,1239,3
689,1,0,PGP,32,3286,3
690,0.4,0,PGP,32,3511,3
691,10,0,PBD,32,3666,3
692,0.5,0,PGP,32,3711,3
693,1,0,PGP,32,3772,3
694,2000,0,WBD,32,3873,3
695,5,0,PBD,32,3874,3
696,2000,0,NGP,32,3881,3
697,2000,0,WBD,32,3942,3
698,7,0,PGP,32,4000,3
699,5,0,PND,32,6012,3
700,5,0,PND,32,6014,3
701,10,0,PBD,38,289,3
702,5,0,PCB,38,381,3
703,0.5,0,PGP,38,1239,3
704,1.5,0,PGP,38,1375,3
705,1.5,0,PGP,38,1376,3
706,10,0,PBD,38,1392,3
707,10,0,PBD,38,2359,3
708,3,0,PGP,38,2359,3
709,20,0,PBD,38,2480,3
710,20,0,PBD,38,2565,3
711,10,0,PND,38,3046,3
712,10,0,PGP,38,3251,3
713,1,0,PGP,38,3286,3
714,5,0,PCB,38,3329,3
715,10,0,PND,38,3383,3
716,0.4,0,PGP,38,3511,3
717,5,0,PCB,38,3560,3
718,10,0,PBD,38,3629,3
719,10,0,PBD,38,3665,3
720,10,0,PBD,38,3666,3
721,1,0,PGP,38,3772,3
722,1,0,PGP,38,3840,3
723,0.5,0,PCB,38,3845,3
724,10,0,PND,38,3858,3
725,20,0,PBD,38,3859,3
726,2000,0,WBD,38,3873,3
727,5,0,PBD,38,3874,3
728,2000,0,NGP,38,3881,3
729,1000,0,WBD,38,3894,3
730,10,0,PBD,38,3897,3
731,0.6,0,PGP,38,3898,3
732,10,0,PBD,38,3903,3
733,1000,0,WCB,38,3904,3
734,5,0,PBD,38,3909,3
735,1000,0,WCB,38,3910,3
736,5,0,PBD,38,3916,3
737,10,0,PID,38,3919,3
738,10,0,PID,38,3920,3
739,10,0,PID,38,3921,3
740,3,0,PGP,38,3924,3
741,5,0,PBD,38,3927,3
742,10,0,PCB,38,3933,3
743,2000,0,WBD,38,3942,3
744,10,0,PGP,38,3943,3
745,3,0,PGP,38,3953,3
746,0.7,0,PGP,38,3965,3
747,2,0,PBD,38,3976,3
748,3000,0,WND,38,3978,3
749,10,0,PBD,38,4063,3
750,2,0,PGP,38,4073,3
751,2,0,PGP,38,4074,3
752,1.5,0,PGP,38,4076,3
753,20,0,PBD,38,4106,3
754,3,0,PGP,38,4188,3
755,1000,0,WND,38,4192,3
756,1.5,0,PGP,38,4196,3
757,10,0,PBD,40,289,3
758,5,0,PCB,40,381,3
759,20,0,PBD,40,2480,3
760,20,0,PBD,40,2565,3
761,1,0,PGP,40,3286,3
762,0.4,0,PGP,40,3511,3
763,10,0,PBD,40,3665,3
764,10,0,PBD,40,3666,3
765,1,0,PGP,40,3772,3
766,1,0,PGP,40,3840,3
767,20,0,PBD,40,3859,3
768,2000,0,WBD,40,3873,3
769,5,0,PBD,40,3874,3
770,2000,0,NGP,40,3881,3
771,1000,0,WBD,40,3894,3
772,10,0,PBD,40,3897,3
773,5,0,PBD,40,3909,3
774,3,0,PGP,40,3924,3
775,5,0,PBD,40,3927,3
776,2000,0,WBD,40,3942,3
777,3,0,PGP,40,3953,3
778,3000,0,WND,40,3978,3
779,10,0,PBD,40,4063,3
780,2,0,PGP,40,4073,3
781,2,0,PGP,40,4074,3
782,1.5,0,PGP,40,4076,3
783,1.5,0,PGP,40,4196,3
784,10,0,PBD,28,289,3
785,5,0,PCB,28,381,3
786,10,0,PBD,28,418,3
787,10,0,PBD,28,439,3
788,10,0,PBD,28,472,3
789,10,0,PBD,28,476,3
790,0.4,0,PGP,28,507,3
791,0.4,0,PCB,28,509,3
792,5,0,PGP,28,1239,3
793,0.4,0,PGP,28,2324,3
794,20,0,PBD,28,2480,3
795,20,0,PBD,28,2565,3
796,1000,2,FGP,28,2804,3
797,1500,3,FGP,28,2979,3
798,1000,3,FGP,28,2981,3
799,1,0,PGP,28,3286,3
800,0.4,0,PGP,28,3511,3
801,1.4,0,PGP,28,3578,3
802,5,0,PGP,28,3634,3
803,30,0,PBD,28,3648,3
